created_at,id,text,screen_name,rt,fav
,,,,,
Wed Apr 29 23:00:17 +0000 2015,5.9355E+17,Take control of your #finances today! Read how @luke_landes overcame his #money crisis: http://t.co/zlVQgO7mDt http://t.co/qJYKistt4y,mint,5,6
,,,,,
Wed Apr 29 16:01:21 +0000 2015,5.93445E+17,Eating #healthy doesn\u2019t have to be expensive. Check out these 5 tips for eating healthy on a #budget: http://t.co/v866L2gzwz,mint,10,16
,,,,,
Tue Apr 28 19:00:27 +0000 2015,5.93128E+17,"#MintTip: Give time, not just money, to #charity. Read on for more ways to give back on a #budget via @MoneyCrashers http://t.co/lOVAGdChfj",mint,1,2
,,,,,
Tue Apr 28 18:07:40 +0000 2015,5.93114E+17,We like the sound of #DIY mint-infused ice cubes! Try these 14 creative ice cube #hacks for #summer: http://t.co/HXTS7dx7sS via @BuzzFeed,mint,1,3
,,,,,
Tue Apr 28 02:00:06 +0000 2015,5.92871E+17,.@SweepingBeauty7 deposits 10% of her weekly paycheck into her #savings account. How do you #save? #FLM2015 http://t.co/5fAjfJQouj,mint,9,17
,,,,,
Mon Apr 27 23:00:13 +0000 2015,5.92826E+17,#Didyouknow eating healthy costs ~$1.50 more per day? Here's how you can #save AND eat well:  http://t.co/wCNZ4OnCv7 http://t.co/6UIrTOrO3I,mint,9,13
,,,,,
Sat Apr 25 00:00:08 +0000 2015,5.91754E+17,#DidYouKnow the average American household juggles 12 bills each month? #Tip: automate your bills and pay on time using @mintbills! #FLM2015,mint,5,1
,,,,,
Fri Apr 24 20:04:28 +0000 2015,5.91694E+17,#AppleWatch is now in stores! Download the @mint App to get updates on your wrist: http://t.co/jJ2GZm26U6 http://t.co/Vd3gMZVizP,mint,4,7
,,,,,
Fri Apr 24 01:00:11 +0000 2015,5.91406E+17,Are you a business owner? Take this #quiz and see how finically literate you really are! http://t.co/zPteIubVfZ #FLM2015,mint,2,8
,,,,,
Thu Apr 23 16:30:36 +0000 2015,5.91278E+17,"If you received a #taxrefund, congrats! Check out this #infographic from @turbotax on whether to save it or spend it: http://t.co/Q6wO69yZ26",mint,3,8
,,,,,
Thu Apr 23 01:00:19 +0000 2015,5.91044E+17,"RT @ChicagoFed Great, free #MoneySmartWeek events taking place all across the nation! Find one (or two) near you: http://t.co/XwN3C14ZWl",mint,3,2
,,,,,
Wed Apr 22 17:00:12 +0000 2015,5.90923E+17,"On #EarthDay, read our 9 ways for you to preserve our planet and your bank balance! http://t.co/jWPaB0xiLN http://t.co/8cYfx0zmma",mint,4,9
,,,,,
Wed Apr 22 01:00:17 +0000 2015,5.90681E+17,#DidYouKnow 41% of parents sometimes avoid talking to their kids about money? Who knew!  http://t.co/RUOUgjfAb0 http://t.co/APOQYVdHXs,mint,9,0
,,,,,
Tue Apr 21 20:02:33 +0000 2015,5.90607E+17,"And that wraps up our #Money411 chat! Thank you to all who took part. If you have more $ Qs, please let us know! Happy budgeting #Money411",mint,0,2
,,,,,
Tue Apr 21 19:58:27 +0000 2015,5.90606E+17,A8: Examine spending for new ways to pay down student loans like #Minter Kelsey Folmar did: http://t.co/Zb4ibywDZs #Money411,mint,0,1
,,,,,
Tue Apr 21 19:54:28 +0000 2015,5.90605E+17,"Less than 10 mins left! Next up, Q8: What is the best approach to tackling student loans? #Money411",mint,1,2
,,,,,
Tue Apr 21 19:53:31 +0000 2015,5.90604E+17,A7: Check out #tips from @ronlieber on preparing your kids to be financially wise adults: http://t.co/00ksF846e0 #Money411,mint,3,1
,,,,,
Tue Apr 21 19:47:43 +0000 2015,5.90603E+17,Q7: How can you teach your kids about the value of money? And at what age? #Money411,mint,1,6
,,,,,
Tue Apr 21 19:38:40 +0000 2015,5.90601E+17,Time to talk #credit. Q6: How can I improve my credit score? #Money411,mint,3,2
,,,,,
Tue Apr 21 19:33:34 +0000 2015,5.90599E+17,"A5: Prioritize paying down debt over saving, paying off cards or loans with the highest APR first #Money411",mint,9,9
,,,,,
Tue Apr 21 19:30:33 +0000 2015,5.90599E+17,"Next up? More on #debt. Q5: What is more important, paying down #debt or #saving? #Money411",mint,3,3
,,,,,
Tue Apr 21 19:25:23 +0000 2015,5.90597E+17,"Next question, #Minters - Q4: Is there such a thing as good debt vs bad debt? #Money411",mint,3,2
,,,,,
Tue Apr 21 19:19:23 +0000 2015,5.90596E+17,A3: Start investing early and watch your #money grow. Check out these easy #tips: http://t.co/xLd6WucM3l #Money411,mint,4,10
,,,,,
Tue Apr 21 19:16:04 +0000 2015,5.90595E+17,This Q is a popular one among our #millennial #Minters: Q3: What are your #tips for first time young investors? #Money411,mint,1,10
,,,,,
Tue Apr 21 19:10:17 +0000 2015,5.90593E+17,"We love these responses, a lot of great budgeting #tips! Next up, Q2: What are some easy ways to start saving? #Money411",mint,1,3
,,,,,
Tue Apr 21 19:02:56 +0000 2015,5.90592E+17,"Great, welcome all! Let\u2019s kick this off with Q1: What are the first steps to take when establishing a budget? #Money411",mint,2,4
,,,,,
Tue Apr 21 19:01:00 +0000 2015,5.90591E+17,"It's just about that time, let's get started! Know we have  @sharon_epperson @BethKobliner &amp; @BudgetsAreSexy here... who else? #Money411",mint,2,3
,,,,,
Tue Apr 21 18:30:37 +0000 2015,5.90583E+17,Excited to have PF experts @sharon_epperson @BethKobliner &amp; @BudgetsAreSexy join us for our #Money441 chat in 30 min!,mint,2,0
,,,,,
Tue Apr 21 15:01:10 +0000 2015,5.90531E+17,Join our #Money411 Twitter chat today @ noon PT to get the 4-1-1 on your personal finances!,mint,4,7
,,,,,
Tue Apr 21 00:00:14 +0000 2015,5.90304E+17,"If you're worried about student loans, see if you're a fit for any of these loan forgiveness options: http://t.co/MaCLL2WWVQ via @wisebread",mint,8,16
,,,,,
Mon Apr 20 19:02:08 +0000 2015,5.90229E+17,"#Minters, tune in tomorrow @ noon PT for our #Money411 Twitter chat! Look forward to teaching you some #money #tips! http://t.co/PWrEyJM54U",mint,4,3
,,,,,
Mon Apr 20 00:00:12 +0000 2015,5.89942E+17,"On Tuesday, a panel of financial experts will join our #Money411 Twitter chat. What financial tricks might you learn? http://t.co/jWm5AY4J6u",mint,3,10
,,,,,
Sun Apr 19 18:00:12 +0000 2015,5.89851E+17,Q: How often should you check your budget to stay on top of your #finances? http://t.co/WKoH7pwyVr #FLM2015 http://t.co/r8pPxP0S0g,mint,1,3
,,,,,
Sat Apr 18 17:00:17 +0000 2015,5.89474E+17,Join our #Money411 Twitter chat w/ @hperez @BudgetsAreSexy @sharon_epperson @BethKobliner 4/21 http://t.co/ItHttTkjzY http://t.co/iR5A5GnOyg,mint,5,4
,,,,,
Sat Apr 18 02:00:20 +0000 2015,5.89247E+17,"On Tuesday 4/21 @ 12pm PT/3pm ET, join our #Money411 Twitter chat w/ a panel of top financial experts http://t.co/0sXohbemwt",mint,9,7
,,,,,
Sat Apr 18 00:00:31 +0000 2015,5.89217E+17,How do you build good credit? Follow these 4 steps! http://t.co/GT5SoXwZzG #FLM2015 #EverydayTriumphs http://t.co/XIjNDemVDx,mint,5,9
,,,,,
Sat Apr 18 00:00:31 +0000 2015,5.89217E+17,How do you build good credit? Follow these 4 steps! http://t.co/GT5SoXwZzG #FLM2015 #EverydayTriumphs http://t.co/XIjNDemVDx,mint,5,9
,,,,,
Fri Apr 17 16:00:11 +0000 2015,5.89096E+17,Make money a hobby. Learn why it\u2019s important &amp; teach people who need to learn: http://t.co/fFiRb0sPAE #FLM2015 http://t.co/qU63qZaaSK,mint,8,9
,,,,,
Thu Apr 16 16:00:22 +0000 2015,5.88734E+17,Getting your #taxes in order now can make a big difference come #taxday next year. Start now: http://t.co/cddAJTJLsO http://t.co/zRF7WuUnAS,mint,2,9
,,,,,
Thu Apr 16 15:00:31 +0000 2015,5.88719E+17,Join our #Money411 Twitter chat on 4/21. Tune in at noon PT for advice on better money habits! http://t.co/OvPnE9LKur http://t.co/UQjDvFjsVY,mint,3,5
,,,,,
Wed Apr 15 15:56:28 +0000 2015,5.8837E+17,"#News for #Apple fans! The Mint app is available now for #AppleWatch, which hits stores 4/24: http://t.co/vuO2AFIDYK http://t.co/t6z73j5rb6",mint,14,15
,,,,,
Wed Apr 15 00:00:12 +0000 2015,5.8813E+17,It\u2019s #FinancialLiteracyMonth and we want your #tips on how you educate yourself about #money. Reply for a chance to win a prize! #FLM2015,mint,7,11
,,,,,
Tue Apr 14 17:00:10 +0000 2015,5.88024E+17,.@ronlieber shares one family\u2019s financial #education #tips. How does your family talk about money? http://t.co/XRYH1iuNlN via @NYTMotherlode,mint,2,4
,,,,,
Mon Apr 13 23:00:26 +0000 2015,5.87752E+17,"#Minters, are you forgetting these 7 items in your budget? Plan ahead! http://t.co/YaM7E7eM41 @wisebread",mint,1,8
,,,,,
Mon Apr 13 17:47:12 +0000 2015,5.87673E+17,#MondayMotivation: Smart finances requires effort. Here are 52 ways to #motivate yourself http://t.co/rJtnWmluDw via @POPSUGARSmart,mint,8,9
,,,,,
Sun Apr 12 21:00:17 +0000 2015,5.8736E+17,"#Minters, ask yourself: How much should I be saving? http://t.co/t45yIPHfHc #FLM2015 #EverydayTriumphs http://t.co/S49mloECKH",mint,8,8
,,,,,
Sat Apr 11 03:00:11 +0000 2015,5.86725E+17,A trick to good #finances? Planning. It prepares you for whatever the future may hold http://t.co/xsYd8OugZi #FLM2015 http://t.co/ljBD4gw1ci,mint,11,19
,,,,,
Fri Apr 10 17:00:23 +0000 2015,5.86574E+17,#Minters: How can you best manage your debt? http://t.co/UMVIbX2a21 #FLM2015 #EverydayTriumphs http://t.co/9PlZLxxV6G,mint,4,11
,,,,,
Fri Apr 10 16:54:45 +0000 2015,5.86573E+17,"A9: Automate savings and bill pay, track your spending &amp; don't try to keep up with the Joneses! http://t.co/zm5cs5Xqoo #CashChat",mint,4,9
,,,,,
Fri Apr 10 16:25:11 +0000 2015,5.86566E+17,"A3: Set your budget, see where you can cut back and get creative! http://t.co/o1n5Cat70q #CashChat",mint,9,7
,,,,,
Fri Apr 10 03:00:13 +0000 2015,5.86363E+17,Mint 4.2.0 for #Android is now available in the Google Play store! Get the latest updates here: http://t.co/q1U5UpffuY,mint,2,4
,,,,,
Fri Apr 10 01:30:11 +0000 2015,5.8634E+17,"#Minters, @janye7 buys cars used to #save! If you\u2019re looking to sell, here\u2019s some easy fixes for higher ROI http://t.co/f6gOljNN9e #FLM2015",mint,0,3
,,,,,
Fri Apr 10 01:30:11 +0000 2015,5.8634E+17,"#Minters, @janye7 buys cars used to #save! If you\u2019re looking to sell, here\u2019s some easy fixes for higher ROI http://t.co/f6gOljNN9e #FLM2015",mint,0,3
,,,,,
Thu Apr 09 15:00:33 +0000 2015,5.86182E+17,"If it\u2019s broke, fix it! Save #money and turn broken junk into #treasure again http://t.co/bugh0l5Ejq via @BuzzFeed #EverydayTriumphs",mint,0,5
,,,,,
Thu Apr 09 02:00:11 +0000 2015,5.85986E+17,Unsure how often you should check your budgets and spending? http://t.co/JgNbNCGqy4 #FLM2015 #EverydayTriumphs http://t.co/RIo66IqbUG,mint,2,3
,,,,,
Wed Apr 08 23:52:11 +0000 2015,5.85953E+17,"RT @MTV: Listen up, kids! These four tips will help you save money in college: http://t.co/qJYVc0qncc http://t.co/dpoL5fqupm",mint,247,0
,,,,,
Wed Apr 08 17:00:17 +0000 2015,5.8585E+17,.@vibgyor70 keeps a reminder to make sure no bill payment is late. But have you ever tried automating using @mintbills? #tips #FLM2015,mint,1,5
,,,,,
Tue Apr 07 17:14:12 +0000 2015,5.85491E+17,#Minters! Here are 3 great (and healthy) ways to talk about #money with your honey: http://t.co/QCA6pBGiMs http://t.co/Sb3zWf8Uox,mint,8,10
,,,,,
Tue Apr 07 03:00:05 +0000 2015,5.85276E+17,"We love that @joti67 uses cash back sites every time she shops. Why not sign up for coupon websites like @RetailMeNot,  as well? #FLM2015",mint,1,4
,,,,,
Mon Apr 06 22:00:20 +0000 2015,5.852E+17,".@mellooo_yellooo wants to start investing, but wonders how. Check out this interview to learn more! http://t.co/Lu6tBEhBT4 #FLM2015",mint,3,3
,,,,,
Mon Apr 06 17:03:01 +0000 2015,5.85126E+17,Success takes hard work &amp; determination. @garnettl tells us know to make $ doing what we love: http://t.co/B9bfnfZMf9 http://t.co/1ZzzBE4ZWb,mint,3,7
,,,,,
Sat Apr 04 03:00:11 +0000 2015,5.84189E+17,"Never stop trying, #Minters! We know you can do it. http://t.co/FPdXHUQrx0 #FLM2015 #FinLitMonth http://t.co/ZebTxy0dwr",mint,19,16
,,,,,
Fri Apr 03 22:00:05 +0000 2015,5.84113E+17,"Want to take control of your finances, but not sure where to begin? Here's a #tip... #FLM2015 #EverydayTriumphs http://t.co/qssKmz3zlZ",mint,16,17
,,,,,
Fri Apr 03 00:00:23 +0000 2015,5.83781E+17,"According to a #survey by @wallethub, #NewHampshire is the most financially literate. How about your state? http://t.co/H6gHF2G9pb #FLM2015",mint,8,3
,,,,,
Thu Apr 02 17:32:29 +0000 2015,5.83683E+17,"We\u2019re all ears! It's #FinancialLiteracyMonth, so tell us your top #money questions for a chance to win a #minty prize! #FLM2015",mint,5,5
,,,,,
Wed Apr 01 23:00:14 +0000 2015,5.83404E+17,Wow your friends without breaking the bank - try one of @POPSUGAR\u2019s 100 greatest #DIY gifts! http://t.co/kFXm4Wyn5K #FLM2015,mint,2,4
,,,,,
Wed Apr 01 18:18:12 +0000 2015,5.83333E+17,It's #FLM2015! What are your top $ #tips and tricks? Share to win! Here's some to get started: http://t.co/7vOlBvRMPN http://t.co/KLnYDue7z5,mint,9,8
,,,,,
Tue Mar 31 23:00:16 +0000 2015,5.83041E+17,"Look no further for #spring inspired, budget-friendly #DIY projects: http://t.co/OECHdQQpyl via @BuzzFeed",mint,0,1
,,,,,
Tue Mar 31 22:20:21 +0000 2015,5.83031E+17,Curious how many #millennials really know their credit score and what to do with it? http://t.co/vLj9wSBqlj http://t.co/RIKoiigxco,mint,7,12
,,,,,
Tue Mar 31 22:20:21 +0000 2015,5.83031E+17,Curious how many #millennials really know their credit score and what to do with it? http://t.co/vLj9wSBqlj http://t.co/RIKoiigxco,mint,7,12
,,,,,
Mon Mar 30 22:00:15 +0000 2015,5.82664E+17,"#DataPrivacy is always important, no matter the time of year. Read how to stay safe online w/ your financial data: http://t.co/6SnJV3yIIp",mint,5,7
,,,,,
Mon Mar 30 17:05:00 +0000 2015,5.82589E+17,Budgeting doesn\u2019t need to be daunting. Make it fun by thinking about the results! #EverydayTriumphs http://t.co/1GkNckisoh,mint,13,11
,,,,,
Sun Mar 29 18:00:17 +0000 2015,5.82241E+17,"Don\u2019t let financial obstacles set you back, #Minters.  Always keep your eyes on what you want to achieve. http://t.co/fg3RkIH2Qb",mint,4,8
,,,,,
Sat Mar 28 00:00:17 +0000 2015,5.81607E+17,"May the first step you take this #weekend be the decision to become #debtfree, #Minters. http://t.co/UeEbjvl1U5 http://t.co/oUvVwXeKyI",mint,11,10
,,,,,
Fri Mar 27 16:00:32 +0000 2015,5.81486E+17,Avoid surprises on move-in day by asking these questions from the start: http://t.co/PBc7le4voH via @CoverHound http://t.co/iTCRmtTMwa,mint,6,8
,,,,,
Fri Mar 27 01:00:12 +0000 2015,5.81259E+17,"""When you get money, don't buy the first thing you see.\u201d Amazing that this advice is from a 12-yr-old! http://t.co/0yfPw5G3h1 via @POPSUGAR",mint,4,10
,,,,,
Thu Mar 26 22:00:20 +0000 2015,5.81214E+17,"Before your next family #roadtrip, try these 5 budget-friendly ideas for keeping your kids entertained http://t.co/et2yVMy2RL via @MoneyNing",mint,3,4
,,,,,
Wed Mar 25 22:00:11 +0000 2015,5.80852E+17,The 4/15 #tax deadline is approaching! Here are our favorite resources for 1st time filers http://t.co/PuaCVteX04 #EverydayTriumphs,mint,0,1
,,,,,
Wed Mar 25 17:19:36 +0000 2015,5.80781E+17,Do you own too many dirty #gadgets? Check out 13 #hacks to keep them clean with stuff you already own http://t.co/YwwHcO09nR via @BuzzFeed,mint,3,1
,,,,,
Wed Mar 25 00:00:18 +0000 2015,5.8052E+17,Make sure you have a #savings #goal in mind! Here are 6 destinations you must visit before you\u2019re 30 http://t.co/dNTWOl8iew via @POPSUGAR,mint,3,4
,,,,,
Tue Mar 24 21:05:24 +0000 2015,5.80476E+17,Are you thinking of buying a #car? Be sure to check its resale value before you make your decision: http://t.co/8Y7kfvE58x via @MoneyNing,mint,2,2
,,,,,
Tue Mar 24 00:00:11 +0000 2015,5.80157E+17,"#Minters, start your #Monday off on the right foot - on your journey to a better financial future! #MondayMotivation http://t.co/58BX4T3m0A",mint,4,4
,,,,,
Mon Mar 23 21:00:29 +0000 2015,5.80112E+17,"#Minters, author @ronlieber shares how to help your #kids become financially wise adults: http://t.co/y1KoPpqp6q http://t.co/yayZ6vLkKG",mint,5,10
,,,,,
Mon Mar 23 21:00:29 +0000 2015,5.80112E+17,"#Minters, author @ronlieber shares how to help your #kids become financially wise adults: http://t.co/y1KoPpqp6q http://t.co/yayZ6vLkKG",mint,5,10
,,,,,
Sat Mar 21 16:00:22 +0000 2015,5.79312E+17,No plans this weekend? Set up a new budget and see how much you could save! http://t.co/XBJakzh8pz #EverydayTriumphs http://t.co/MNcdVWDrHZ,mint,15,22
,,,,,
Fri Mar 20 23:00:10 +0000 2015,5.79055E+17,#Didyouknow managing your #money doesn\u2019t need to be intimidating? Read up on these #Minty #tips and #tricks:  http://t.co/MG3wH6uMBR,mint,3,5
,,,,,
Fri Mar 20 15:30:17 +0000 2015,5.78942E+17,"#Minters, don\u2019t neglect your #finances in your #SpringClean! Here are 5 #MintTips to follow: http://t.co/EGtTSIrv8n http://t.co/l4XQMHb1Rk",mint,5,4
,,,,,
Thu Mar 19 23:00:10 +0000 2015,5.78692E+17,Saving for a #vacation but not sure where to go? Find out why #Europe may be the best option for you! http://t.co/RnWxLiM8U5 via @csmonitor,mint,3,4
,,,,,
Wed Mar 18 22:00:18 +0000 2015,5.78315E+17,#DIY: Check out these 31 #cheap #tricks for making your bathroom the best room in the house http://t.co/9JwWEf46Wq via @BuzzFeed,mint,3,4
,,,,,
Wed Mar 18 16:00:26 +0000 2015,5.78224E+17,"#Minters, learn how to turn your kids' difficult #money questions into teachable moments: http://t.co/ht27vlmfc0 #VIDEO via @MONEY",mint,4,4
,,,,,
Tue Mar 17 23:00:21 +0000 2015,5.77968E+17,Save #money by bringing lunch to work. Get started with one of @POPSUGARSmart\u2019s tasty lunch recipes http://t.co/fx22422FNy #EverydayTriumphs,mint,5,6
,,,,,
Tue Mar 17 16:00:31 +0000 2015,5.77862E+17,"Top o\u2019 the mornin\u2019 to ya, #Minters! This #StPattysDay make sure to preserve your pot of gold! http://t.co/NWX7ElmSnn http://t.co/LgMABPjSxo",mint,7,5
,,,,,
Mon Mar 16 23:00:13 +0000 2015,5.77605E+17,"#Minters, it\u2019s a new week &amp; a fresh start! Take charge of your finances now: http://t.co/Sv7wL3RvPQ #MondayMotivation http://t.co/cxF5IFNDP0",mint,7,7
,,,,,
Mon Mar 16 16:02:13 +0000 2015,5.775E+17,Unforeseen bills can sting! Try these 5 tips for passing a personal-finance stress test: http://t.co/0wQhlaEcaF via @WSJ,mint,3,6
,,,,,
Sun Mar 15 18:00:27 +0000 2015,5.77167E+17,Take that first step to understand your finances and start #saving for the future. http://t.co/V4XWGekPND http://t.co/REcCN4GZcJ,mint,4,7
,,,,,
Sun Mar 15 18:00:27 +0000 2015,5.77167E+17,Take that first step to understand your finances and start #saving for the future. http://t.co/V4XWGekPND http://t.co/REcCN4GZcJ,mint,4,7
,,,,,
Fri Mar 13 23:00:18 +0000 2015,5.76518E+17,"#Minters, check out these 6 ways to win your #MarchMadness office pool &amp; #save the cash! http://t.co/OlI9RMA7Bq via @MONEY #NCAATournament",mint,1,1
,,,,,
Thu Mar 12 23:00:23 +0000 2015,5.76156E+17,Are you thinking of #marriage? Check out these 33 smart ways to #save #money on your special day! http://t.co/V5SVH1rqyy via @BuzzFeed,mint,6,10
,,,,,
Thu Mar 12 17:00:40 +0000 2015,5.76065E+17,"#Minters, learn how to keep your family\u2019s grocery bill under $400 a month: http://t.co/06omxfaCIG #EverydayTriumphs via @MoneyNing",mint,1,6
,,,,,
Wed Mar 11 17:00:22 +0000 2015,5.75703E+17,Any #millennial #Minters filing taxes for the first time? Check out these 5 helpful links: http://t.co/YwQJgFIX4H http://t.co/oqX0qsDAlj,mint,4,5
,,,,,
Wed Mar 11 16:00:34 +0000 2015,5.75688E+17,Need help setting aside some $$$? Watch how to make those #EverydaySavings last: http://t.co/sg9WKmUKRA #VIDEO #EverydayTriumphs,mint,2,2
,,,,,
Tue Mar 10 16:00:34 +0000 2015,5.75325E+17,Curious how travel rewards credit cards really work? Find out: http://t.co/NuEVQPfe6L via @wisebread,mint,3,5
,,,,,
Tue Mar 10 00:00:11 +0000 2015,5.75084E+17,"#Minters, low on cash after the #weekend? Follow these #tips for making $50 today! http://t.co/11VCaBFRq1 via @POPSUGARSmart",mint,3,8
,,,,,
Mon Mar 09 18:52:45 +0000 2015,5.75006E+17,"Excited to announce Mint will be available on the #AppleWatch, making it easier to do more w/ your money! #AppleLive http://t.co/NW3KI8ViST",mint,50,45
,,,,,
Sat Mar 07 17:00:23 +0000 2015,5.74253E+17,"#MintTip: This #date night, woo your lady or gent by whipping up one of these homemade meals: http://t.co/Y8HGFkpesZ via @BuzzFeed",mint,2,5
,,,,,
Fri Mar 06 22:00:24 +0000 2015,5.73966E+17,Finances don\u2019t have to be scary. We'll be your helping hand while you plan for a better future http://t.co/nHfqOyY4n7 http://t.co/oopfQDQiT6,mint,4,5
